Column1,Column2,Column3,Column4
authentication.reset-password.text.error.invalid-token,Le lien est probablement expiré.,Your link is probably expired.,
tenant.field.bankCheckDigit,Numéro d'institution financière,Bank Code,
core.collection.error.add_discount,Le montant de la promotion est trop important.,The promotion amount is too large,
core.action.update.payment,Modifier le mode de paiement,Edit payment method,
invoice.plan.upgrade,Passer à un plan supérieur,Upgrade,
quote.title,Devis,Quote,
quote.details.title,Résumé du devis,Quote Summary,
navbar.section.quote.item.add.title,Nouveau devis,New Quote,
authentication.mobile.local.device,Appareil,Device,
core.bank.financial.institution.name,Nom de l'institution financière,Financial institution name,
document.action.view,Voir le document,See document,
bankAccount.statement.balance,Solde du relevé,Statement balance,
ppa.status.retried,Essayer à nouveau,Reprocessed,
ppa.button.action.status.to_refund,Remboursement,Refund,
invoice.label.export.type,Sélectionnez votre(vos) type(s) d'exportation *,Select your type(s) of export *,
bankAccount.no.parkinglots,Vous pourrez associer un compte bancaire à des stationnements après avoir créé des stationnements,You will be able to associate bank account with parking lots after creating parking lots,
scheduler.view.dailylist,Vue de la liste quotidienne,Daily list view,
scheduler.view.weeklylist,Vue de la liste hebdomadaire,Weekly list view,
scheduler.allday,Toute la journée,All day,
core.bank.assocaite.parkinglots,Associé aux stationnements,Associate to parking lots,
core.bank.associate.storages,Associé aux entreprosages,Associate to storages,
scheduler.view.day,Vue quotidienne,Day view,
book.transaction.action.download,Télécharger un document,Download Document,
book.transaction.action.upload,Téléverser un document ,Upload Document,
enum.tree.element.type.project.description,"Écrire pour créer des projets, un projet peut contenir une tâche si le module est actif ","Type to create projects, a project could contains task if module is active",
scheduler.view.week,Vue hedomadaire,Week view,
quote.add.scope.tree.node.1.1.title,Acheter pour revendre,Purchase for resale,
navbar.section.timetracking.item.all.title,Suivi du temps,Time Tracking,
scheduler.view.month,Vue mensuelle,Month view,
core.status.update.fail,Échec de la mise à jour ,Update failed,
receivable.extract.title,Extraire le recevable,Extract Receivable,
bankAccount.balance,Équilibre à Wazo,Balance in Wazo,
bankAccount.no.buildings,Vous pourrez associer un compte bancaire au bâtiment après avoir créé le bâtiment,You will be able to associate bank account with building after creating building,
bankAccount.dropdown,menu déroulant,dropdown,
invoice.label.report.type,Sélectionnez votre type de rapport *,Select your type of report *,
core.bank.associate.buildings,Associé aux bâtiments,Associate to buildings,
core.bank.financial.institution.transit.number,Numéro de transit de l'institution financière,Financial institution transit number,
document.error.storage.pro.employee,Vous avez atteint votre limite de stockage autorisée par votre plan Premium. Merci de contacter le propriétaire du compte WAZO pour obtenir du stockage supplémentaire pour télécharger ce document.,The storage limit included in your Premium plan has been reached. Please contact the Account Owner to increase the storage limit to upload this document.,
storage.limit.dialog.owner.pro.content,Vous avez atteint votre limite de stockage autorisée par votre plan Premium. Veuillez passer à un plan supérieur pour obtenir du stockage supplémentaire. ,The storage limit included in your Premium plan has been reached. Please upgrade your subscription for additionnal storage.,
lease.create.error.already.active.status,Vous ne pouvez pas créer de bail pour cet élément de location. Il y a déjà un bail avec le statut actif/à venir/renouvellement en cours/renouvellement,You can not create a lease for this rent item you just selected. There is already a lease with active/to come/renew in pending/renew status.,
manager.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer ce collaborateur ?,Are you sur you want to delete this collaborator ?,
lease.create.error.range.date.revoked,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut révoqué.,You can not create a lease for this range date. There is already a lease with revoked status.,
plan.benefit.storage.standard.description,"Avec le forfait Standard, vous disposez de 1 GB pour enregistrer vos fichiers. Ces fichiers peuvent être associés à des bâtiments, stationnements, espaces d'entreposage, appartements, locataires ou propriétaires.","With a Standard account, you have up to 1GB of storage room to save your files. These can be associated to building, apartments, parking lots, storage space, tenants or owners. ",
manager.action.add,Inviter un collaborateur ,Invite a collaborator,
manager.action.removed,Le collaborateur a été révoqué.,The collaborator has been revoked.,
authentication.sign-up-email.validate.message.error,Votre adresse email n'a pu être validée. Veuillez contacter un administrateur si le problème persiste.,Your email address could not be validated. Please contact an administrator if the problem persists.,
manager.action.add.title,Invitation d’un collaborateur ,Invitation of a collaborator,
authentication.login.error.email.unvalidated,Votre compte est incomplet. Veuillez vérifier votre adresse e-mail en cliquant sur le lien de confirmation inclus dans le courriel que nous venons d'envoyer !,Your account is incomplete. Please verify your email address by clicking on the confirmation link included in the email we just sent!,
lease.error.already.renew.status,Il y a déjà un bail avec le statut renouvelé,There is already a lease with renewal status.,
lease.error.renew.date.do.not.renew,Il y a déjà un bail dans cette plage horaire avec le statut ne pas renouveler.,There is already a lease in the range date with do not renew status,
manager.title,Collaborateur,Collaborator,
lease.create.error.range.date.to.come,Vous ne pouvez pas créer de bail pour cette date horaire. Il y a déjà un bail avec le statut à venir.,You can not create a lease for this range date. There is already a lease with to come status.,
lease.create.error.range.date.renew.in.pending,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut renouvellement en attente.,You can not create a lease for this range date. There is already a lease with renew in pending status.,
lease.create.error.range.date.renew,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut à renevouler.,You can not create a lease for this range date. There is already a lease with renew status.,
manager.invitation.error.already_invited,Ce contact a déjà été invité en tant que collaborateur. ,This contact has already been invited as a collaborator. ,
lease.create.error.range.date.active,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut actif.,You can not create a lease for this range date. There is already a lease with active status.,
gl_account.btn.upgrade.plan,Changer de plan pour exporter des données.,Upgrade plan to export data,
lease.create.error.range.date.do.not.renew,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut ne pas renouveler.,You can not create a lease for this range date. There is already a lease with do not renew status.,
 ,Il y a déjà un bail dans cette plage horaire avec le statut renouvellement en attente.,There is already a lease in the range date with renew in pending status,
manager.pending.title,Invitation(s) de collaborateur(s) en attente ,Pending collaborator(s) invitation(s),
manager.action.edited,L'information concernant un collaborateur a été modifiée.,The information concerning a collaborator has been modified.,
lease.label.view.all.details,Voir tous les détails,View all details,
book.transaction.type.rent_parking,Loyer de stationnement ,Rent Parking,
accounting.paymentType.paid_by_roommate,Payé par un colocataire,Paid by roommate,
invoiceTask.reject.reason.invoice.already.received,Facture déjà reçue,Invoice already received,
quote.add.project.new.code,Numéro/code de projet,Project number/code,
navbar.section.user.item.search.title,Rechercher l'utilisateur,Search User,
gl_account.nature.credit,Crédit,Credit,
core.error.forbidden.message,"Le serveur a compris la requête, mais refuse de l'exécuter. L'authentification a été acceptée mais les droits d'accès ne permettent pas au client d'accéder à la ressource. N'hésitez pas à nous contacter. ","The server understood the request, but refuses to execute it. Authentication has been accepted, but the access rights do not allow the client to access the resource. Do not hesitate to contact us.",
ppa.title.plural,Prélèvements préautorisés (PPA),Pre-authorized payment (PPA),
scheduler.filter.project,Projet,Project,
authentication.reset-password.create.text,Créer un nouveau mot de passe,Create a new password,
lease.field.unit.electricity,Électricité,Electricity,
core.bank.financial.institution.account.number,Numéro de compte de l'institution financière,Financial institution account number,
invoice.plan.dialog.title,Créer une nouvelle règle d'approbation,Create a new approval rule,
lease.field.perceptionAmount,Montant,Amount,
bankAccount.glAccount,Compte GL,GL account,
email.change.password.title,Modifier votre mot de passe,Change your password,
building.label.no.building,Aucun bâtiment,No building,
book.transaction.empty,Aucune transaction déja effectuée,No transaction already done,
scheduler.week.add,Ajouter,Add,
lease.error.renew.date.renew,Il y a déjà un bail dans cette plage horaire avec le statut renouveler.,There is already a lease in the range date with a renewiew status.,
invoice.information.additional,Informations additionelles,Additional information,
invoice.select.landlord.all,Inclure tous les propriétaires,Include all owners,
payment.plan.details.title,Détails du plan,Plan Details,
lease.status.active_list,Actif,Active,
authentication.login.error.email.required,Un courriel est requis,An email is required,
accounting.action.retry.payment,Relancer le débit préautorisé (PAD),Reprocess the pre-authorized debit (PAD),
core.sequenceCode,Code d'identifiant,Code identifiant,
payment.plan.form.btn.back.to.form,Retourner au formulaire,Return to form,
authentication.social-sign-up.text.or-sign-up-with,Où s'inscrire avec,Where to register with,
authentication.reset-password.input.confirm-new-password,Confirmer le nouveau mot de passe,Confirm new password,
quote.add.project.autocmp.plcholder,Projet existant,Existing projects,
navbar.section.user.item.all.title,Afficher tout,Show All,
invoice.planed.payment,Paiement pour,Payment for,
user.field.validated.label,Statut,Status,
ppa.title,Paiement préautorisé (PPA),Pre-authorized payment (PPA),
taskRule.field.glCode.exclude,Exclure un compte GL,Exclude GL Account,
core.label.no.note,Aucune note,No Note,
category.title,Catégorie,Category,
document.information,Informations sur le document,Document information,
scheduler.filterBy,Filtrer par,Filter by,
lease.error.renew.date.active,Il y a déjà un bail dans cette plage horaire avec le statut actif.,There is already lease in the range date with active status,
enum.tree.element.type.project.name,Projet,Project,
ppa.action.retry.payment,Relancer le paiement préautorisé (PPA),Reprocess the pre-authorized payment (PPA),
quote.add.save,Sauvegarder,Save,
quote.add.project.new.desc,Entrer une courte description du projet,Enter a short description of the project,
user.accept.admin.message.success,Votre compte est validé! Créez votre mot de passe pour accéder à votre compte.,Your account is valid! Create your password to access it.,
ppa.action.approve.message.title,Voulez-vous vraiment approuver ce paiement préautorisé (PPA) ? ,Do you want to approve this pre-authorized payment (PPA)?,
enum.tree.element.type.folder.name,Dossier,Folder,
quote.add.project.new,Nouveau Projet,New Project,
authentication.sign-up-email.error.email.required,Un courriel est requis,Email is required,
user.field.language.label,Langage,Language,
core.error.not_found.message,"Une erreur s'est produite et votre demande n'a pas pu être traitée. Vérifiez l'URL, ou n'hésitez pas à nous contacter.","An error has occurred and your request could not be processed. Check the URL, or feel free to contact us.",
user.profile.action.plan.upgrade,Changer votre plan,Change your plan,
user.role.field.role_manager_admin.details,"Le collaborateur immobilier est un rôle permettant de tout gérer votre parc immobilier, il n'est cependant pas autorisé à supprimer des informations ou à créer des écritures comptable manuellement.","The real estate collaborator is a role that allows you to have full access to your investment portfolio. However, they are limited in their actions. They cannot delete information or create manually an accounting procedure.",
scheduler.filter.equipment,Équipement,Equipment,
invoiceTask.error.supplier.missingName,Aucun fournisseur,No supplier,
unit.title.size_type.demi_8,8 et demi,8 1/2,
unit.title.size_type.demi_7,7 et demi,7 1/2,
unit.title.size_type.demi_6,6 et demi,6 1/2,
unit.title.size_type.demi_5,5 et demi,5 1/2,
unit.title.size_type.demi_4,4 et demi,4 1/2,
