Column1,Column2,Column3,Column4
authentication.reset-password.text.error.invalid-token,Le lien est probablement expiré. AAA updates,Your link is probably expired. AAA Updates,
tenant.field.bankCheckDigit,Numéro d'institution financière,Bank Code,
core.collection.error.add_discount,Le montant de la promotion est trop important.,The promotion amount is too large,
core.action.update.payment,Modifier le mode de paiement,Edit payment method,
invoice.plan.upgrade,Passer à un plan supérieur,Upgrade,
quote.title,Devis,Quote,
quote.details.title,Résumé du devis,Quote Summary,
navbar.section.quote.item.add.title,Nouveau devis,New Quote,
authentication.mobile.local.device,Appareil,Device,
core.bank.financial.institution.name,Nom de l'institution financière,Financial institution name,
document.action.view,Voir le document,See document,
bankAccount.statement.balance,Solde du relevé,Statement balance,
ppa.status.retried,Essayer à nouveau,Reprocessed,
ppa.button.action.status.to_refund,Remboursement,Refund,
invoice.label.export.type,Sélectionnez votre(vos) type(s) d'exportation *,Select your type(s) of export *,
bankAccount.no.parkinglots,Vous pourrez associer un compte bancaire à des stationnements après avoir créé des stationnements,You will be able to associate bank account with parking lots after creating parking lots,
scheduler.view.dailylist,Vue de la liste quotidienne,Daily list view,
scheduler.view.weeklylist,Vue de la liste hebdomadaire,Weekly list view,
scheduler.allday,Toute la journée,All day,
core.bank.assocaite.parkinglots,Associé aux stationnements,Associate to parking lots,
core.bank.associate.storages,Associé aux entreprosages,Associate to storages,
scheduler.view.day,Vue quotidienne,Day view,
book.transaction.action.download,Télécharger un document,Download Document,
book.transaction.action.upload,Téléverser un document ,Upload Document,
enum.tree.element.type.project.description,"Écrire pour créer des projets, un projet peut contenir une tâche si le module est actif ","Type to create projects, a project could contains task if module is active",
scheduler.view.week,Vue hedomadaire,Week view,
quote.add.scope.tree.node.1.1.title,Acheter pour revendre,Purchase for resale,
navbar.section.timetracking.item.all.title,Suivi du temps,Time Tracking,
scheduler.view.month,Vue mensuelle,Month view,
core.status.update.fail,Échec de la mise à jour ,Update failed,
receivable.extract.title,Extraire le recevable,Extract Receivable,
bankAccount.balance,Équilibre à Wazo,Balance in Wazo,
bankAccount.no.buildings,Vous pourrez associer un compte bancaire au bâtiment après avoir créé le bâtiment,You will be able to associate bank account with building after creating building,
bankAccount.dropdown,menu déroulant,dropdown,
invoice.label.report.type,Sélectionnez votre type de rapport *,Select your type of report *,
core.bank.associate.buildings,Associé aux bâtiments,Associate to buildings,
core.bank.financial.institution.transit.number,Numéro de transit de l'institution financière,Financial institution transit number,
